training_loss,validation_loss,training_accuracy,validation_accuracy
0.6816614381402731,0.6761453440025449,0.76424,0.7684
0.5767804772250354,0.567812300941348,0.80032,0.807
0.5116854043181985,0.508482463141717,0.82612,0.8249
0.4885710454511456,0.4844956504808739,0.83216,0.8329
0.4629713695701351,0.4621926854399033,0.84108,0.841
0.46263323076049795,0.46480079340962693,0.8362,0.8363
0.4435255178958038,0.4484823156261351,0.84684,0.8432
0.4432974631573679,0.4506162727442337,0.8439,0.8402
0.43248296176289674,0.44115260888990016,0.849,0.8451
0.4338568891643779,0.44284936173143796,0.84758,0.8418
0.4107423130896909,0.41899728705887684,0.85798,0.8545
0.40458231688957197,0.411406603506254,0.85944,0.8562
0.4044743858197704,0.41427910425639713,0.85796,0.8557
0.4008973665488488,0.4126388280950952,0.86082,0.8568
0.39227837058157894,0.4087953224583296,0.86296,0.8584
0.38323059100199025,0.39562738404097036,0.86804,0.8634
0.3883320805785351,0.39910916579510086,0.86376,0.8617
0.37670758193434684,0.39047611006958177,0.86946,0.865
0.3745171680688055,0.38995622846573824,0.86996,0.8661
0.3723873838849354,0.39229365620971657,0.87006,0.8623
0.37000931165499146,0.38810743733579295,0.87096,0.8647
0.3755228888467746,0.3946748108120868,0.86898,0.8615
0.36327205879346003,0.38579817740893924,0.8732,0.8662
0.36214074628129134,0.38277666823475154,0.87286,0.8669
0.36838756962077923,0.3918664633890614,0.87058,0.8617
0.3533029497724143,0.3751429025175283,0.8765,0.8697
0.3508218038346339,0.3757322787891142,0.87702,0.8683
0.34800079398917266,0.37304969135038557,0.87802,0.8715
0.3451058496452379,0.3712713186813984,0.87924,0.8713
0.3448822246086714,0.37067120604983067,0.8777,0.8696
0.34478766702233465,0.37226974606269503,0.87892,0.8701
0.3397493881067797,0.36678902754579906,0.8814,0.8707
0.3364669430756499,0.3672665082412772,0.8824,0.8715
0.33496378319831566,0.3668033044142416,0.88262,0.8725
0.3353399555827916,0.3664287524112413,0.88264,0.8723
0.33265145056612555,0.3671734138924745,0.88342,0.8708
0.3275165112946743,0.36165056704090964,0.88548,0.8749
0.32797285934552783,0.359647279379447,0.8847,0.8749
0.3243374438571406,0.3581684775074711,0.8861,0.8756
0.33900424842068927,0.3764516125732858,0.87926,0.8653
0.3244070412518509,0.35732798879267647,0.88534,0.8739
0.321612164597729,0.3551791772023076,0.88686,0.8772
0.32037906331743987,0.35725999211583404,0.88812,0.8759
0.3243843982751068,0.36640725526710155,0.8849,0.8685
0.3192347053862107,0.3587847463031532,0.88744,0.8739
0.3202100702559168,0.3613662691026926,0.8866,0.8711
0.3116847531473124,0.35380840846755307,0.8898,0.8752
0.30894477273177123,0.3510079162212729,0.8918,0.8766
0.31942051695140716,0.36453459621192885,0.88652,0.8712
0.30775681279941985,0.35257770440212916,0.89138,0.8756
0.3163195192480227,0.36188632751266125,0.88692,0.8706
0.30460247293106746,0.34987830445154106,0.89208,0.8765
0.30328548491209456,0.3508165118390811,0.89334,0.8772
0.3025253115044837,0.34606466130834307,0.89388,0.878
0.30186572116730503,0.35042169920532035,0.8939,0.8769
0.31085626574424124,0.36252063861856004,0.88936,0.8707
0.3025927728028735,0.3502750754536188,0.893,0.8766
0.2984665353665187,0.35143181030675186,0.89574,0.8735
0.30030359861027883,0.35173738912906555,0.893,0.8738
0.2925071638386231,0.34655321935913525,0.89696,0.8797
0.29274880402542536,0.3437853367566946,0.89692,0.8794
0.28879654963019713,0.34464922914886265,0.89828,0.8784
0.29009592799453005,0.3452042087134032,0.89826,0.8812
0.28991619868696844,0.3469378181182721,0.89758,0.8776
0.288823998823202,0.34645566422119156,0.89922,0.8797
0.2958256312800554,0.35160089153213775,0.8929,0.8767
0.28242574765656786,0.34153024472732796,0.90102,0.8811
0.2862196775093209,0.35117679686291375,0.89922,0.8767
0.28837687995484623,0.34852793185684133,0.8984,0.8765
0.27921074751524894,0.3401746516148211,0.90126,0.88
0.28164522321096214,0.34316548682236464,0.9005,0.8791
0.2904904038482142,0.35810105470479464,0.89686,0.8729
0.2837448263347248,0.34808101252430934,0.90004,0.8767
0.2892395680831914,0.3519375238265056,0.89514,0.8756
0.2752676468090972,0.3401298858605791,0.90342,0.8802
0.273758953314411,0.341256651147292,0.90306,0.8801
