training_loss,validation_loss,training_accuracy,validation_accuracy
0.6590368108981101,0.66312718353694,0.76776,0.7659
0.5487029980820464,0.5523233726809297,0.80648,0.8042
0.5038162807521918,0.5062472967407371,0.82528,0.8245
0.49192619971607043,0.4956894550896898,0.8271,0.8249
0.44699448514777373,0.44521456956863403,0.84416,0.844
0.4383425052132448,0.4372198687324041,0.8478,0.8469
0.4297508366425019,0.43292575056039834,0.84886,0.844
0.41911227669557344,0.42467665710026703,0.85416,0.8509
0.42005464552765914,0.4269240741865544,0.8532,0.8494
0.39961100889898626,0.40712100456032574,0.8605,0.8553
0.38907488909981136,0.40566223935235907,0.86494,0.8594
0.3871516610502892,0.4021240061596979,0.86534,0.86
0.3870183838831494,0.40041993690442435,0.8652,0.8587
0.3749769064395324,0.3913995740534384,0.8679,0.8654
0.3949618102491969,0.40841504459894157,0.86004,0.8558
0.39257079381924453,0.4122445617295519,0.85964,0.8545
0.3601980253177531,0.37914240416846695,0.87368,0.8658
0.3701614380416358,0.3974421775039238,0.86916,0.8603
0.3700392877735445,0.38225261546388456,0.8699,0.8669
0.3705313786902391,0.39007682589036,0.8702,0.8638
0.343477285236044,0.36789288456681407,0.87942,0.8708
0.3456424324942367,0.3752623909636389,0.87982,0.8669
0.3396251807584787,0.3744331047504763,0.88062,0.8673
0.3347366821125645,0.3645634832261484,0.88008,0.8704
0.33344285944691093,0.3639747085214793,0.88176,0.8701
0.33728478742225093,0.36641648902168755,0.882,0.8706
0.3228279541977836,0.3583401247293134,0.8854,0.8755
0.3190541224330283,0.35237790568719934,0.88678,0.8737
0.3396603992528013,0.36775624789769135,0.87736,0.8683
0.32669120512502575,0.3587234025891823,0.88566,0.8764
0.34697453170786124,0.38802086854282813,0.87186,0.8581
0.3212331241125341,0.3624535519865495,0.8857,0.8715
0.3265482884310091,0.36535549597649636,0.88488,0.8746
0.31036396176004044,0.35309653653751444,0.88976,0.8734
0.3165509116161815,0.36241484480568126,0.88618,0.8711
0.33419875148921974,0.38428449970257433,0.87848,0.8626
0.3030732319787945,0.35296609790264805,0.89202,0.8761
0.30902158760506176,0.35899022315876394,0.88876,0.8696
0.3106275968386999,0.3645241571755349,0.88842,0.8683
0.2987462429286879,0.3455536076916924,0.89314,0.8779
0.2950130627893121,0.3467434048652649,0.89434,0.8756
0.3287128410528383,0.3897603584241264,0.88216,0.8616
0.28912179282559153,0.34685013811045057,0.89646,0.8761
0.29575366132399616,0.3548397774560542,0.89458,0.8742
0.326375793465568,0.3942774541770356,0.87896,0.8575
0.2907257798458914,0.3514657858051831,0.89546,0.8723
0.29337624550018165,0.35202561771567864,0.8938,0.8726
0.2841965770325088,0.34341942528380626,0.89836,0.88
0.28355573544569335,0.346424369306504,0.8983,0.8803
0.28315347501688903,0.3460646284909188,0.89768,0.8789
0.28432128488865044,0.35284265027016026,0.89716,0.8739
