training_loss,validation_loss,training_accuracy,validation_accuracy
0.7658153571131284,0.7739660208392295,0.6889,0.6865
0.7154652512515597,0.7219103453265634,0.72382,0.7226
0.4868088995328035,0.5043880827487655,0.82458,0.816
0.4587978413876365,0.4710537691594689,0.82744,0.821
0.5146125694141364,0.5202682522261978,0.81146,0.8072
0.37856594433107643,0.3997884670830077,0.86136,0.8516
0.4225171553185376,0.45487236559011374,0.84544,0.8333
0.32574844587108365,0.3494828026385824,0.88072,0.8722
0.34398441092894816,0.37325280781384484,0.87326,0.8671
0.3046384062093999,0.3370909265651824,0.88918,0.8766
0.378492266778141,0.423027058031149,0.86214,0.8479
0.2957591506011803,0.3311956927275202,0.89182,0.8795
0.28240413566493927,0.3249549253541193,0.89514,0.8789
0.27598273522599276,0.32420644240014873,0.89924,0.8826
0.30978458485258814,0.3699547389320507,0.88002,0.8614
0.2765917891965193,0.32392410516359244,0.89844,0.8852
0.2800271153888282,0.33386914014436636,0.89588,0.8768
0.24533790822529122,0.30518653072938795,0.90994,0.8875
0.32189044628835395,0.39186185930564904,0.88058,0.8538
0.33336518217078254,0.39281075329157955,0.86792,0.8506
0.4290277772128125,0.5217406352993789,0.83618,0.8096
0.2889153422964046,0.36082372363585574,0.88702,0.8631
0.2762523348374135,0.354342453608847,0.8983,0.8758
0.31902453339541964,0.39387503892752773,0.87886,0.8606
0.21756358985858196,0.30476754799390293,0.9216,0.8915
0.3186242336030964,0.4057531796253411,0.87926,0.8551
0.2058184983689919,0.2990858159057654,0.92472,0.8913
0.25832908015574335,0.36185394464784365,0.89964,0.8661
0.3152413739086798,0.43238954084694003,0.89068,0.862
0.22761539693759836,0.3252436911604207,0.9156,0.884
0.21713693709591467,0.32947271578251175,0.91834,0.8823
0.19410719729178702,0.3080802431721596,0.9293,0.8914
0.2043156454773129,0.32619331497105825,0.92582,0.8854
0.1924971023912701,0.30758019465549735,0.9305,0.8924
0.21090858192909556,0.3291701296712183,0.92072,0.8825
0.2035229558034626,0.3393141470232587,0.92436,0.8817
0.22898417343969082,0.366706433379726,0.91576,0.8763
0.2843828854887077,0.41028547699853873,0.89924,0.8624
0.21678312008967027,0.3627606248779661,0.91654,0.8754
0.2481155855166714,0.3839852463477736,0.90294,0.865
0.4151645586409075,0.5713123064132253,0.8559,0.8164
0.20257646730526938,0.35382544453356674,0.9226,0.8789
0.2581062137251696,0.41364948541685276,0.9016,0.8639
0.2600503339648933,0.4330302886902147,0.90472,0.8622
0.5041440510229134,0.6901848149147762,0.83224,0.7985
0.161120193574549,0.3236964391010582,0.93934,0.8947
0.18427591287123654,0.3613019751230623,0.93324,0.8826
0.15289378700220524,0.3270795420286762,0.94286,0.8897
0.3943061159109063,0.5605310223474624,0.86168,0.8273
0.3281487079665941,0.5086936202778178,0.89238,0.8523
0.2334122697601233,0.4162192018168747,0.91254,0.8706
0.2639782594950379,0.45847702681258984,0.90672,0.8575
0.2039656513668311,0.4066583356659883,0.92294,0.8652
0.15040763969416432,0.34254230630056115,0.9433,0.8911
0.15646527467957697,0.3592399889306658,0.94272,0.8861
0.14641350916946483,0.35437693940416265,0.94718,0.8875
0.36641097712852155,0.5916758935162976,0.88474,0.8494
0.16297917581542068,0.37017249102425426,0.93968,0.8794
0.1465315613395456,0.3722262022791395,0.94446,0.8788
0.14032551582874087,0.3593715733498525,0.94844,0.8866
0.15055377456500096,0.3692974575385926,0.94468,0.8884
0.1290962850410596,0.36489578825273333,0.9514,0.8879
0.11579465361840813,0.33715716936880613,0.95834,0.8931
0.1288135043319191,0.36857333736624687,0.95196,0.8894
0.23743321560323238,0.4847719038178207,0.91482,0.858
0.15542762038176475,0.3931494810778624,0.94046,0.8805
0.14485943050878813,0.38233223168333624,0.9438,0.8824
0.22603604610047073,0.4980486714915865,0.91864,0.8566
0.11221666722570348,0.360096914165766,0.95822,0.8938
0.37146559684916075,0.6183141816383714,0.87962,0.8346
0.15707463961180365,0.41138290632872065,0.93794,0.8765
0.10120438105757813,0.37468755496725153,0.96326,0.8918
0.11754156048755016,0.39346162449260047,0.95692,0.8853
0.1343954316033122,0.40490485637620754,0.95062,0.8836
0.10466459304894633,0.3789596845200107,0.96072,0.8915
0.08849223416186679,0.36909658072670554,0.96862,0.8965
0.11798175398970161,0.401188351902043,0.9559,0.8895
0.08821983122721772,0.38472183350070266,0.96824,0.8933
0.10090182935509383,0.4027019754218258,0.96372,0.8849
0.30715296095203787,0.6368522224058012,0.9208,0.8685
0.10778409772364379,0.42711675653507,0.96016,0.8802
0.07996278422434464,0.383040922154097,0.97094,0.8935
0.11130951816106543,0.4153044438760751,0.95738,0.8861
0.10788095267692013,0.4247586190801375,0.96,0.8808
0.0894786298556058,0.39687760691544055,0.96664,0.893
0.10269080132455624,0.4270638870965144,0.96096,0.8886
0.080590159610233,0.42090752701850453,0.97072,0.8873
0.27204837412347116,0.6321463053393516,0.91174,0.8404
0.08939386018292259,0.42446942546754884,0.9651,0.8863
0.09558161637862511,0.42907211042133864,0.96324,0.8887
0.17920466375244243,0.515010875786186,0.93988,0.868
0.07068745803762028,0.41580859015867777,0.97516,0.89
0.08907151557600407,0.4562178720144709,0.96696,0.8873
0.08268788654733535,0.44030007485086753,0.96924,0.8882
0.07324148822859254,0.42034873499232495,0.97372,0.8936
0.06425369396904612,0.40848874657824163,0.97776,0.8925
0.4415996926014914,0.8353163396856588,0.8737,0.8185
0.09836321729777234,0.4603269143848662,0.96402,0.8858
0.13136582516367212,0.5308600256017818,0.9504,0.8786
0.06893549589356861,0.4334515615538427,0.97496,0.8871
