training_loss,validation_loss,training_accuracy,validation_accuracy
0.559849020007931,0.5605806127475326,0.80618,0.8013
0.5448474266644939,0.5477898599235875,0.79838,0.7948
0.5071792994123285,0.49730484548268045,0.81246,0.8135
0.45652683995797505,0.4587942864864495,0.83672,0.8339
0.488208203936172,0.4990661343571487,0.82044,0.8145
0.4026495111186791,0.40946068382187256,0.85692,0.8553
0.3574463112084457,0.37473531048388997,0.87396,0.8652
0.4134312430611047,0.42195900221159505,0.84932,0.8474
0.38165467253426455,0.4011555504836854,0.85958,0.8532
0.33233245768967795,0.3520862872053863,0.8827,0.8746
0.33406098339411305,0.3550866119041564,0.87962,0.8745
0.38914451746227186,0.4268820179495842,0.85958,0.8504
0.3311275817511027,0.36205243513842295,0.88008,0.8672
0.3112791975879151,0.3397251795621435,0.88632,0.8786
0.3286820220691926,0.3561722347690801,0.88102,0.8706
0.30742914650751196,0.3406532755133453,0.88534,0.8746
0.31672106363126995,0.36379284758097047,0.88572,0.8683
0.28690320963178145,0.3319427294146483,0.89624,0.8803
0.29801404745796756,0.34694565168231917,0.88988,0.869
0.2773558008377357,0.33046731096544085,0.89956,0.8806
0.2634417601025013,0.311360341917937,0.90644,0.8882
0.26431042393264564,0.31465762018398113,0.90444,0.8893
0.2662169408824895,0.32904588146384356,0.90348,0.882
0.26451578273740417,0.3169365381928766,0.90422,0.89
0.2940176455137294,0.34909506350945513,0.89086,0.875
0.3118502141245643,0.3684620647483571,0.88716,0.8708
0.28037676962135394,0.34152647406811926,0.898,0.8753
0.2348478312801827,0.30550224172651386,0.91492,0.892
0.2592035543526073,0.3242376509365762,0.90476,0.8843
0.23694847063030428,0.31041794208584317,0.91376,0.8864
0.32409572991949825,0.4075684955545292,0.8822,0.8565
0.22445654107824617,0.3024733729043584,0.92008,0.8947
0.22047264809908387,0.3020383075686397,0.92122,0.8931
0.23506468676430795,0.3173416563469893,0.91472,0.8875
0.22370650312479803,0.3075607577991334,0.92096,0.892
