training_loss,validation_loss,training_accuracy,validation_accuracy
1.0221906051306469,1.013666678078567,0.6699,0.6737
0.7922911200377033,0.7924258143086976,0.72508,0.7241
0.6993863655783027,0.7025294394432744,0.7626,0.7602
0.6421231661763642,0.6376787989954406,0.78326,0.7819
0.6010394453849939,0.5983436643322811,0.80028,0.8
0.5706393694328835,0.5716282208509083,0.80864,0.8091
0.5487437096550641,0.5456442614144916,0.8144,0.8134
0.5318833580407341,0.5330182891103286,0.82034,0.8174
0.5196108633599927,0.5181019917319093,0.82464,0.8194
0.5046789119463138,0.5039539439014241,0.82982,0.8273
0.49381533013585277,0.49789365296122395,0.83186,0.8309
0.48812041479303403,0.49165534030033065,0.83276,0.832
0.4802248489368907,0.478708498462846,0.83502,0.8328
0.47275323788528245,0.4727062692370596,0.83704,0.8344
0.4669223339356425,0.46856629923929144,0.83906,0.8358
0.46018490789796385,0.46090469933763334,0.84262,0.8415
0.4567002137298779,0.45712887524049495,0.84188,0.8394
0.4511717420709712,0.4536864319934121,0.84414,0.8416
0.4506202764675745,0.44986053056354763,0.84446,0.8431
0.45237065794522807,0.45849415471282184,0.8435,0.8371
0.44057211051206757,0.44444277392158027,0.8474,0.8453
0.4354292793042215,0.43657232726676554,0.84998,0.8477
0.4323638149005983,0.43408914004700094,0.85124,0.8486
0.4311951136268923,0.43484579045561295,0.85126,0.8503
0.42860781182261076,0.4289728950096082,0.85178,0.8501
0.42632620154744216,0.42686376390577874,0.85264,0.8525
0.42169844105725396,0.42792437989500504,0.85432,0.8512
0.41986101778114543,0.4288684308906145,0.8549,0.8499
0.4153420137779792,0.42366044393068625,0.85714,0.8525
0.4140884729145128,0.4216191153737563,0.85746,0.8532
0.41109677044022114,0.419438169349598,0.85728,0.8528
0.40856958254981224,0.4142691132765782,0.8579,0.8529
0.4136199252227383,0.4214383190191245,0.85682,0.8496
0.4039486081856291,0.41130952216401884,0.861,0.8549
0.40094382439732856,0.408066772773296,0.8627,0.8593
0.4014340490483872,0.41976202251035954,0.86238,0.8563
0.39831202841170915,0.4051979210557817,0.86332,0.8586
0.39747847765303024,0.40512632380557967,0.86242,0.8582
0.39375408660725253,0.4054577961752686,0.86368,0.8583
0.39213775346041335,0.40472978278051447,0.86354,0.8598
0.3920297602863263,0.4012123825429361,0.86336,0.8624
0.3878176317495458,0.4018932524361188,0.86678,0.8613
0.3908117144080379,0.40031505574153947,0.86406,0.8614
0.38326873327307687,0.39384375682360007,0.86738,0.8618
0.38662282775735,0.40223434642900396,0.86638,0.8608
