training_loss,validation_loss,training_accuracy,validation_accuracy
1.4514490805013711,1.4446765818173373,0.60278,0.6085
0.8920174446862067,0.8836519423919388,0.68424,0.6878
0.7458611395962708,0.7396387322039544,0.73132,0.7312
0.6707019348583563,0.6688166494610943,0.75508,0.7574
0.6239663476072004,0.6238670926305312,0.7849,0.779
0.5769540633996735,0.5752255226237865,0.80182,0.7974
0.5528750722975377,0.5506676835349843,0.80952,0.8047
0.5341893307998052,0.5311945669258697,0.81328,0.8109
0.5171891614756621,0.5165896023376079,0.81686,0.8142
0.5121868538582112,0.5066186638572548,0.81866,0.8243
0.494983206319687,0.49044661016403873,0.82438,0.8237
0.4817988690360428,0.4870725466480738,0.83132,0.8285
0.4770167679585459,0.47955937362924406,0.8328,0.8291
0.4827700159738741,0.48771123757845236,0.827,0.8237
0.4644767241862119,0.4665600257583811,0.83718,0.8332
0.45326781981741376,0.4550733736044244,0.84198,0.8392
0.44709013371973694,0.4485333942914311,0.84324,0.8399
0.4536702539152501,0.4531823960663397,0.84178,0.8369
0.44579093482183374,0.45526247914833357,0.84248,0.8365
0.43386086124136014,0.43473943917057184,0.84948,0.8467
0.4478573219855423,0.45563943438892124,0.84374,0.8387
0.47536673494007275,0.48401057644735407,0.82554,0.818
0.4228503537909759,0.4321421388583847,0.85442,0.8496
0.42228030106600595,0.4242981204503699,0.8519,0.853
0.41862086753558625,0.43073831404311747,0.85366,0.8515
0.42412703345193886,0.4340414631215832,0.85218,0.8466
0.4391200671263058,0.4568620908863937,0.84464,0.8373
0.41539030013334416,0.4249392114108122,0.8535,0.8496
0.4161524287879924,0.42152098802071586,0.85472,0.8553
0.4617163075891602,0.48382409841199464,0.83916,0.8329
0.4113121550634999,0.41826557113399987,0.85636,0.8518
0.4192212491922671,0.43577309688435323,0.8514,0.8427
0.39779787234333164,0.4091125432449051,0.8607,0.8541
0.40122816019960683,0.40933595880677426,0.859,0.8529
0.4293679747816242,0.4378096012375023,0.85038,0.8418
0.3893390926329986,0.3985421838639658,0.86526,0.8595
0.3855906348399189,0.39165818012213405,0.8657,0.8618
0.3908865028787452,0.39570145063762424,0.86342,0.8632
0.3804111264245894,0.391311185835283,0.8672,0.8645
0.3792354767889623,0.39342172915422463,0.8664,0.8626
0.37635803432263376,0.39057474347609505,0.86932,0.8642
0.37202139412198226,0.38658074638511564,0.87042,0.8633
0.3813496985094017,0.39872168664690816,0.86678,0.8597
0.38673858154002966,0.4034810907478574,0.86502,0.8575
0.36597083226951493,0.3780087960671775,0.87128,0.8668
0.3667107451602321,0.38823033397710777,0.87118,0.8688
