training_loss,validation_loss,training_accuracy,validation_accuracy
1.054483478255284,1.0475642536855807,0.67368,0.6762
0.7954990725078241,0.7896887929576217,0.7363,0.7343
0.697242124458713,0.6931915053516436,0.7657,0.7652
0.6374489522498586,0.6327676691447094,0.78622,0.7867
0.5995427384553358,0.596067869739168,0.7996,0.8009
0.5689209155795519,0.5667151360754754,0.80972,0.808
0.545266212366731,0.5444629507459653,0.81704,0.8172
0.5292984432995776,0.5296743271077514,0.82226,0.8242
0.5195008899702136,0.516242017981353,0.82334,0.8256
0.5039030992047256,0.5042994269140207,0.82868,0.8235
0.49586696797014806,0.49349516933890664,0.82982,0.8296
0.4864581062094025,0.48724455685372564,0.83442,0.8329
0.48071834847064276,0.47900874020567363,0.83482,0.8346
0.47161923390825083,0.46922383870288825,0.83822,0.8399
0.4675616350815729,0.4682034197126984,0.83908,0.8339
0.45909787912655364,0.4574319526648066,0.8427,0.8411
0.4560011157866024,0.4588295524097552,0.84198,0.8387
0.45242577514913684,0.45546704170050895,0.84396,0.8402
0.44580292796997156,0.4462050734811528,0.84634,0.8433
0.4438951695171159,0.4445767643725037,0.84694,0.8455
0.43926935905919356,0.4409757513719,0.84854,0.8455
0.4330851856209433,0.43633849719527423,0.85136,0.8485
0.4343585693622794,0.43811619224821685,0.85064,0.8443
0.43314197045915265,0.43202717763603116,0.85146,0.8516
0.43196577870327496,0.43597108657193034,0.85038,0.8467
0.423671258665869,0.4291057002012897,0.8543,0.8485
0.4194287791600465,0.4214256179940169,0.85522,0.8519
0.41712319841394035,0.42103197525261316,0.85672,0.852
0.4158396153803677,0.418641643444444,0.85618,0.8522
0.41196421625287943,0.4148798776659996,0.85768,0.8544
0.4107076732532295,0.41484970547211397,0.85838,0.8559
0.40681798706579086,0.41318285199487287,0.8615,0.857
0.41160374334858507,0.4179371249903539,0.85778,0.8544
0.40455184248097414,0.40739484520474817,0.8595,0.8579
0.4088276871253767,0.41302829791026513,0.85918,0.8551
0.39901509179788475,0.4066772376465949,0.86308,0.858
0.3968128983665,0.40498091261477986,0.86322,0.8593
0.3987237966197836,0.4031523607528893,0.8622,0.8597
0.396484011522187,0.40171365904959905,0.86334,0.862
0.39320704569597076,0.4034106200857527,0.86556,0.8624
0.39031823726413806,0.3971755014862984,0.86568,0.8642
0.3871183925882325,0.3949950461744503,0.86658,0.8642
0.3868877587606535,0.3936315538587084,0.86634,0.8631
0.3921560967231498,0.4047460699347174,0.86526,0.8593
0.394936366525986,0.40658335786336547,0.86298,0.8579
0.381788680563345,0.3904775903103458,0.86754,0.8652
0.3778871875208662,0.38816418437061795,0.87032,0.8655
0.38024696623882676,0.3915744486508096,0.86858,0.8645
0.38356038405919624,0.39363059534388745,0.86806,0.8645
0.375357423330207,0.3884378331861678,0.8706,0.8648
0.3716911697745933,0.3836680438108505,0.87196,0.8673
0.37328918733636435,0.38511024320581155,0.87154,0.8685
0.37211250862502077,0.38813325924098874,0.87166,0.8664
0.367934254772218,0.38517176611408305,0.87262,0.8687
0.36663008313578416,0.38104741303784073,0.87388,0.8688
0.36466239937735945,0.37936817185514293,0.8741,0.8697
0.36334644445715963,0.3795034981267467,0.87518,0.8686
0.36261578106209447,0.37675181230542004,0.87504,0.8717
0.36645879790834757,0.3845081425206676,0.87396,0.8677
0.36276690090251396,0.37820612549022503,0.87472,0.8685
0.3587788798848686,0.37668569457189294,0.87654,0.8705
0.358405345236249,0.37432865096125634,0.87642,0.8711
0.361865753865303,0.3770169210471925,0.87538,0.8709
0.3563607246865092,0.3730538357405146,0.87742,0.8716
0.35955615213040804,0.3744126888122528,0.87416,0.8692
0.36875715463057807,0.38802443435237666,0.8711,0.8652
0.3566953455814925,0.37317447174506585,0.87618,0.8712
