training_loss,validation_loss,training_accuracy,validation_accuracy
2.1681424083612155,2.1669041627570045,0.33014,0.3342
2.016917014975682,2.0133087514322017,0.4926,0.4996
1.843745505718319,1.8383084807214858,0.56934,0.5751
1.665942033233545,1.6591208313084855,0.59348,0.6006
1.50938237262199,1.5022364734094353,0.61112,0.6187
1.3808506891855499,1.3712642917150184,0.62522,0.6342
1.2780334162895026,1.2686340763599058,0.64062,0.6476
1.1957520700781548,1.1857159107546262,0.64934,0.6579
1.1290718509108209,1.1174678289437596,0.65736,0.6644
1.0745804555275862,1.0666638393945331,0.66458,0.6714
1.02894144122253,1.017490275298493,0.66924,0.6742
0.990399909293865,0.9833181160914747,0.67628,0.6817
0.9575920780296521,0.9463090783433069,0.68254,0.6865
0.9289715543122548,0.9193977102448668,0.6881,0.6897
0.9040406683216924,0.894168600251403,0.69384,0.6959
0.8819899110842848,0.8723069799097278,0.69854,0.7033
0.8624457904444937,0.853834109970286,0.70336,0.7053
0.844456142629199,0.8407250144813634,0.70728,0.7084
0.828432067275962,0.8184465200086183,0.71282,0.7151
0.8137205782753733,0.8057971227018139,0.71834,0.7198
0.8001519871489776,0.7942496115648294,0.72406,0.7247
0.7876131714457442,0.781008767176278,0.73018,0.7301
0.7761917707255429,0.7684707166273382,0.73346,0.7324
0.7651127113405701,0.7579946238783342,0.73794,0.7374
0.7550943989278106,0.7482769210127336,0.74196,0.7415
0.7453424528126826,0.7381240038932124,0.74692,0.7459
0.736260565497991,0.7311225322228444,0.7507,0.7487
0.728177036928094,0.7240278554868095,0.7533,0.7535
0.7196298991627705,0.7140271852288065,0.7559,0.7542
0.7116034716901267,0.7097655647917639,0.76078,0.7599
0.7042911051179442,0.695111760233022,0.76312,0.7624
0.6970772593832382,0.6926078502135941,0.767,0.7658
0.6902132512206007,0.6857759371588502,0.76932,0.7678
0.6837357681273194,0.6785114513167853,0.7704,0.7702
0.6772842147313726,0.676852709884885,0.77402,0.7723
0.6712897841430381,0.6638171755814855,0.776,0.775
0.6656870136175619,0.6565368311314643,0.77958,0.7785
0.659914670469206,0.6560731039771551,0.78028,0.7786
0.6544204134770366,0.6494821211959743,0.78282,0.7821
0.6491825840509761,0.6408398053314113,0.78418,0.7849
0.6444140150571418,0.639214861242077,0.7872,0.7888
0.6391963691967527,0.6319170654574527,0.78844,0.7912
0.6345144694723437,0.6289219788358181,0.78966,0.7911
0.6300507833433273,0.6229825604565536,0.79144,0.7932
0.6256040758489038,0.6186076704459854,0.79298,0.7949
0.621433622163275,0.6146204460270798,0.79382,0.796
0.6173793772602325,0.610510804985143,0.7952,0.7974
0.6135394843033207,0.6101705503614643,0.79676,0.7981
0.6098186962135003,0.6058230603797526,0.7974,0.7993
0.6060345020440533,0.6042949855327606,0.79946,0.7988
0.6022552918747562,0.5971370712865757,0.80074,0.7995
0.5989884762355434,0.5939431514921067,0.8009,0.8023
0.5955132065374223,0.5884507272062423,0.80196,0.8021
0.5923064053058624,0.5862221695199797,0.80318,0.8048
0.5891754277374434,0.5844886174684838,0.80418,0.8057
0.5863491858515288,0.5817236198654657,0.8059,0.8057
0.5832693594343522,0.579169315250614,0.80682,0.8075
0.580545094159558,0.5759983134420612,0.80692,0.8078
0.5773252035345873,0.5725632170333138,0.8078,0.8086
0.5748659171869078,0.5674439895002148,0.80822,0.8102
0.5721615073473557,0.565009059408043,0.8099,0.81
0.5698176299976876,0.5631714768802063,0.81056,0.8116
0.5671657436644025,0.5634752972216546,0.81114,0.8112
0.5645506709737851,0.5583213971385473,0.8121,0.8124
0.562267071374542,0.5612974215911913,0.81266,0.8135
0.5599340514453781,0.5560473245155962,0.81336,0.8135
0.557722809598269,0.5552211939534054,0.81474,0.8145
0.5555154595076276,0.550329139338264,0.81512,0.8151
0.5534551687100354,0.5524331101133854,0.81606,0.8151
0.5514545166279043,0.546529631825942,0.8162,0.8156
0.5492173032382565,0.5450229897529264,0.8171,0.8168
0.5474426164041699,0.5448309462281722,0.8175,0.8171
0.5453027441830891,0.5446459054946899,0.81784,0.8173
0.5435466104761109,0.5389860762825495,0.81898,0.8185
0.5417282469284809,0.5386679244192341,0.81968,0.8191
0.5400743867125353,0.536675789688207,0.81924,0.8192
0.5380818749327794,0.5357996919487096,0.82088,0.8201
0.5364640725543127,0.5312471038933042,0.82028,0.8197
0.5349086773822375,0.531544099125681,0.82074,0.8207
0.5332835809044216,0.5337245117259931,0.82126,0.8209
0.5317577132026253,0.5275578355487389,0.82256,0.8222
0.5299140722550395,0.528037588807601,0.82286,0.8228
0.5282421420754679,0.527458771874633,0.82298,0.8222
0.5267614593438785,0.5211254663859741,0.82344,0.8229
0.525417593357813,0.5226592904404749,0.82372,0.8229
0.5237579209267941,0.5238238312775576,0.82438,0.8234
0.5224778777955438,0.520039532380768,0.82448,0.8238
0.5211115985575234,0.5175477884992769,0.82502,0.8244
0.5197577336255241,0.5151373574250862,0.82536,0.8249
0.5181375607810057,0.5155890229382093,0.8261,0.8255
0.5170914467490847,0.5133468463451047,0.82616,0.8262
0.5155728438016399,0.5126771594904647,0.82636,0.827
0.5143428684195595,0.5110517793063876,0.82694,0.8263
0.5132014976285607,0.5087093031859096,0.82724,0.8254
0.5118997284518484,0.5101053371459623,0.8277,0.8266
0.510986801989548,0.5090892839280865,0.82814,0.8274
0.5095391971680819,0.5091032155706913,0.82848,0.8261
0.508425952452223,0.5054123009307475,0.82826,0.8291
0.5071786466766807,0.5027277216881136,0.82836,0.8299
0.5059378275938351,0.5054922183103199,0.82862,0.8291
