training_loss,validation_loss,training_accuracy,validation_accuracy
0.5042638356558792,0.4984154983697459,0.81712,0.8223
0.4285392784458958,0.4400146337748505,0.84626,0.8397
0.3846739653043274,0.3895229183544405,0.86338,0.8635
0.3533246782340319,0.36405689925801127,0.87264,0.8704
0.34118823214158417,0.3635366864532465,0.87376,0.8667
0.3245050105511176,0.35176142720529463,0.87996,0.8712
0.31437775359921943,0.3409598628082371,0.88648,0.8784
0.29283185029505576,0.33154530525068987,0.89368,0.8783
0.2839708434978878,0.3282830581284565,0.89608,0.8802
0.26969780696033924,0.31622680858079694,0.90138,0.8863
0.2745271818419653,0.3221570407087027,0.89958,0.8854
0.2583916605484182,0.31871621958288343,0.90426,0.8829
0.2771659330021298,0.33999942416384,0.89538,0.8732
0.255764913045833,0.3220455565359207,0.9044,0.8822
0.24107353418833347,0.31300567462719336,0.91152,0.8886
0.2311932773882013,0.3040057737631551,0.91652,0.8897
0.22201068409619554,0.2982699841762631,0.91802,0.8916
0.23034933658267284,0.31858306411797455,0.91248,0.8858
0.25455378573682336,0.3471485823116004,0.90244,0.8735
0.22230797563567165,0.3219631520128416,0.91686,0.8838
0.20174848443172202,0.29944093842217834,0.9253,0.8955
0.20751253135547526,0.30363227657012987,0.92344,0.8912
0.18982714564884348,0.29447062657223816,0.93056,0.8956
0.2087176684020348,0.3125384891039033,0.9201,0.8855
0.19365682183127217,0.3089912180900038,0.92648,0.8928
0.17760456579170855,0.2963601708096201,0.93334,0.8972
0.2077617760713962,0.3313498048249472,0.92302,0.888
0.1869074004787979,0.3269333885291046,0.9295,0.8844
0.18298706305103515,0.3060032668993288,0.93192,0.8925
0.18763527279311976,0.3229521672213069,0.9285,0.8899
0.16981237552400777,0.31499275058083587,0.93698,0.8929
0.1626278515343272,0.3120899309289833,0.9389,0.8947
0.15766140058627698,0.3166217599601393,0.94142,0.8937
0.17359072641708706,0.33444089800723026,0.93506,0.8896
0.16735722327957017,0.33255253042849026,0.936,0.8847
0.16570696959427972,0.32873515786411356,0.93822,0.8931
0.2006867203636519,0.3973102705192113,0.9221,0.8685
0.16122894311066896,0.3411527742631515,0.93974,0.8909
0.14826280755505677,0.3269057270324225,0.94492,0.8942
0.13570510499741242,0.3180888593240329,0.95152,0.8939
0.1498790942814164,0.33937289370477497,0.94236,0.8905
0.13374843611527637,0.32316968568776977,0.95058,0.8929
0.1314164101478642,0.3099195215100982,0.95202,0.897
0.12253319683806065,0.3295117212528669,0.95512,0.8949
0.16429261808407652,0.38001306940399615,0.93672,0.885
0.1532380120408686,0.3654815387075416,0.94288,0.8904
0.1357356042457381,0.3560408458753718,0.94922,0.8911
0.1161046474709663,0.3479509715425501,0.95764,0.8932
0.13377929822876442,0.3656186436234166,0.9503,0.8863
0.12040329829010261,0.34545794503627636,0.95564,0.8956
0.11475345161832298,0.3392917720148486,0.95824,0.8952
0.12818512504465035,0.38176779368452807,0.95188,0.8872
0.11590803750618252,0.3559482665369177,0.95776,0.8924
0.12278930689667632,0.3744882166828289,0.95414,0.8863
0.10877003485690696,0.36106313902201354,0.96032,0.8957
0.10402627943858639,0.36945626861957204,0.96176,0.8912
0.09772992050621901,0.35511898171621076,0.9638,0.8975
0.1074749920738412,0.37089806129566966,0.96076,0.8912
0.11207879551463415,0.39470671181857986,0.9585,0.8841
0.10189230320301342,0.3722479176740847,0.96046,0.8942
0.09640905360620147,0.39230221108097385,0.96474,0.8932
0.10279726206479661,0.39216453372658727,0.96202,0.8915
0.08506246932397721,0.3742029472297062,0.9701,0.8974
0.09688678035068721,0.3911301564266506,0.96388,0.8956
0.08566102236824524,0.3765245821407304,0.96912,0.8947
0.10186616093035894,0.41198803638523623,0.9622,0.8844
0.08819995726604175,0.3933420322101659,0.96794,0.8936
0.08107875479813839,0.4034492599194696,0.97116,0.8924
0.09681405477804726,0.40951656404960624,0.96372,0.8885
0.1011062484935024,0.4343902517990957,0.9612,0.8825
0.10605921189113132,0.44039093042255756,0.96074,0.8914
0.08960724927491372,0.42630292584900237,0.96582,0.8876
0.07193679677083822,0.41567056979403294,0.97424,0.8981
0.07338177263223704,0.41478120266923013,0.97292,0.8938
0.06736478508606722,0.40817637487392977,0.97632,0.8957
0.06693641370667797,0.4216384008542716,0.97644,0.8948
0.07410995624485336,0.41955610374729113,0.97414,0.8924
0.06381041027441944,0.43201024053830517,0.9772,0.8943
0.08200213998440753,0.43826546692685886,0.96896,0.892
0.07493999230241503,0.4463364861890881,0.97294,0.8922
0.05811290964196916,0.43036280885778017,0.97984,0.8935
0.05627326286836821,0.4335763456821565,0.98082,0.8967
0.061985876658539975,0.44009718699426975,0.9778,0.892
0.06446753543502964,0.46583360549876435,0.97618,0.8904
0.054361116439994875,0.44310587427839637,0.98104,0.8985
0.05535183589019567,0.45229646465694623,0.9808,0.8969
0.06352103555046944,0.47277864796019914,0.97662,0.8904
0.1009405322319905,0.5316706916856634,0.96404,0.8869
0.11429971493210345,0.5124530025974856,0.9607,0.8874
0.056080768296922254,0.4733768212825115,0.98014,0.8917
0.04572907872536875,0.4669678417830888,0.9845,0.8982
0.07219088026066733,0.4949842683059537,0.97406,0.8931
0.06375963654936381,0.5117580381558351,0.97634,0.8885
0.06325659518455821,0.4949841991666496,0.9766,0.8918
0.06126780404844022,0.534601486990288,0.9772,0.8918
0.059219013100326984,0.5255045308189328,0.97764,0.8887
0.05992042830591478,0.5267474550698085,0.9782,0.8893
0.0720730534513476,0.5449690679274118,0.9718,0.8838
0.04356621165565077,0.5238346357557783,0.98474,0.8916
0.07210845426869457,0.5618000784440693,0.97154,0.884
